epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0294,1.97775,2.26062,2.19735,0.31701,0.21871,0.14378,0.06805,2.74929,3.60698,3.01447,0.000664216,0.000664216,0.000664216
2,140.576,2.40958,2.61121,2.60353,0.13435,0.11255,0.0516,0.01968,3.24471,3.84905,3.94142,0.00119913,0.00119913,0.00119913
3,208.814,2.35897,2.57484,2.57711,0.50961,0.24581,0.23823,0.12204,2.59223,3.04698,2.83564,0.00160203,0.00160203,0.00160203
4,276.782,2.10389,2.33809,2.35738,0.50619,0.28,0.27464,0.15088,2.43218,2.71082,2.61086,0.001406,0.001406,0.001406
5,344.793,1.98837,2.15737,2.21261,0.58855,0.30387,0.30726,0.17849,2.35445,2.6748,2.54875,0.001208,0.001208,0.001208
6,413.214,1.899,2.03189,2.0814,0.57976,0.34,0.34528,0.20485,2.25468,2.44203,2.41869,0.00101,0.00101,0.00101
7,481.965,1.8101,1.93743,2.0144,0.51946,0.42903,0.36454,0.21423,2.27363,2.39989,2.39419,0.000812,0.000812,0.000812
8,551.432,1.76844,1.89135,1.9609,0.5289,0.423,0.38362,0.23608,2.13762,2.32889,2.27312,0.000614,0.000614,0.000614
9,620.035,1.66301,1.75649,1.88001,0.53254,0.48194,0.37489,0.23244,2.11298,2.314,2.24463,0.000416,0.000416,0.000416
10,688.921,1.61841,1.68961,1.84494,0.54626,0.4929,0.38975,0.24607,2.05754,2.26474,2.21148,0.000218,0.000218,0.000218
